[2020-06-22 14:18:14:0977] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:14:0977] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:14:0978] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[59932], devIP[c0a84809]
[2020-06-22 14:18:15:0478] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:15:0979] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:15:0979] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:15:0979] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:16:0480] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:16:0980] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:16:0980] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[59932], HostIp[c0a8017f], HostPort[59932]
[2020-06-22 14:18:16:0980] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:16:0980] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:16:0980] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:17:0480] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:19:0341] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:19:0341] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:19:0342] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[51615], devIP[c0a84809]
[2020-06-22 14:18:19:0843] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:20:0343] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:20:0343] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:20:0343] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:20:0844] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:21:0345] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:21:0345] | GigEVisionManager.cpp-L4976: SetTransmissionType[0], nRet[0x80000206], GvspSendIp[c0a8017f], GvspSendPort[51615], HostIp[c0a8017f], HostPort[51615]
[2020-06-22 14:18:21:0345] | GigEVisionManager.cpp-L0997: disconnect device ...
[2020-06-22 14:18:21:0345] | GigEVisionManager.cpp-L1962: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 416)
[2020-06-22 14:18:21:0345] | GigEVisionManager.cpp-L2577: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2020-06-22 14:18:21:0845] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:23:0694] | GigEVisionManager.cpp-L0274: driver mode start!
[2020-06-22 14:18:23:0694] | GigEVisionManager.cpp-L0311: Driver Mode [1]
[2020-06-22 14:18:23:0694] | GigEVisionManager.cpp-L0916: connecting device ... hostIP[c0a8017f], hostPort[63226], devIP[c0a84809]
[2020-06-22 14:18:24:0195] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:24:0696] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:24:0696] | GigEVisionManager.cpp-L0981: GVCP_GetAccessPrivilege [1][80000206]
[2020-06-22 14:18:24:0696] | GigEVisionManager.cpp-L0819: connect device failed! [80000206]
[2020-06-22 14:18:25:0196] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
[2020-06-22 14:18:25:0697] |   GigEVisionGVCP.cpp-L1638: gvcp UDP_ReadnTimeout nRequestTimeOut[500000], return[0]!
